Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.010811805725097656,0.007861137390136719
Malsdown,,8.58306884765625e-06,7.152557373046875e-07
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.0022430419921875,0.0010750293731689453
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.006340503692626953,0.0028219223022460938
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.002476215362548828,0.0022521018981933594
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.008533239364624023,0.0054018497467041016
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.00510096549987793,0.0032389163970947266
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.014901399612426758,0.008249521255493164
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.002020597457885742,0.0019450187683105469
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.004481315612792969,0.003587007522583008
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.0022568702697753906,0.0018513202667236328
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,Object Data Language Facilities for Multimedia Data Types.,0.004573822021484375,0.0041942596435546875
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,Object Data Model Facilities for Multimedia Data Types.,0.003856658935546875,0.0038156509399414062
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.0048253536224365234,0.003300905227661133
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,0.007762908935546875,0.005097389221191406
Muffin: C Dittributed Dctcbcte Mcchine,Muffin: A Distributed Database Machine,0.0010325908660888672,0.0008676052093505859
