Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.02839374542236328,0.015065193176269531
Malsdown,,1.049041748046875e-05,9.5367431640625e-07
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.00567173957824707,0.004039764404296875
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.009592294692993164,0.005033969879150391
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.011152505874633789,0.008494138717651367
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.03686857223510742,0.017431974411010742
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.030666112899780273,0.018140792846679688
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.04306292533874512,0.02242445945739746
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.006395578384399414,0.005207061767578125
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.021258831024169922,0.011405229568481445
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.025643348693847656,0.015249252319335938
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,Multimedia Object Repository for the Web Based Multimedia Application Design.,0.021808147430419922,0.012267827987670898
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,Object Data Model Facilities for Multimedia Data Types.,0.022968292236328125,0.01411581039428711
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.016397953033447266,0.012027978897094727
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,0.03180193901062012,0.023891210556030273
Muffin: C Dittributed Dctcbcte Mcchine,Muffin: A Distributed Database Machine,0.004388570785522461,0.004035234451293945
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.010616302490234375,0.0066547393798828125
Inharisanca for ADSs (ravisad),How data can be the lingua franca for security and IT.,0.000278472900390625,0.00012946128845214844
Modificction of Uter Defined Typet,Modification of User Defined Types,0.0060825347900390625,0.003646373748779297
Objacs ADSs (wish improvamanss for Valua ADSs),Object ADTs (with improvements for Value ADTs),0.0042836666107177734,0.0035021305084228516
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,0.007640361785888672,0.006564140319824219
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,0.00046443939208984375,0.00012373924255371094
Clgebrciccl Optimizction of FTC-Exprettiont,Algebraical Optimization of FTA-Expressions,0.0039865970611572266,0.0033521652221679688
Wittentrepr&cuml;tentction und Mctchinellet Lernen,Wissensrepr&auml;sentation und Maschinelles Lernen,0.006582975387573242,0.0044040679931640625
Cn Clgebrcic Chcrccterizction of TTUF,Context-Dependent Boundary Model for Refining Boundaries Segmentation of TTS Units.,0.0034961700439453125,0.0030629634857177734
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.019275903701782227,0.009550809860229492
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.0005426406860351562,0.00014734268188476562
