Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.003140687942504883,0.002791166305541992
Malsdown,,7.3909759521484375e-06,9.5367431640625e-07
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.0008447170257568359,0.0006816387176513672
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.005161285400390625,0.0028464794158935547
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.0015854835510253906,0.0013957023620605469
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.0021944046020507812,0.001825094223022461
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.0033082962036132812,0.0024611949920654297
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.007792949676513672,0.004099845886230469
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.0005042552947998047,0.00022912025451660156
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.0010833740234375,0.0009579658508300781
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.0016491413116455078,0.00144195556640625
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0012257099151611328,0.0009970664978027344
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0008685588836669922,0.0009670257568359375
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.0035240650177001953,0.0027816295623779297
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,0.003993034362792969,0.003134012222290039
Muffin: C Dittributed Dctcbcte Mcchine,Ordered Navigation on Multi-attributed Data Words.,0.0012068748474121094,0.0011754035949707031
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.000986337661743164,0.0005807876586914062
Inharisanca for ADSs (ravisad),How data can be the lingua franca for security and IT.,2.5987625122070312e-05,2.0742416381835938e-05
Modificction of Uter Defined Typet,Modification of User Defined Types,0.0018391609191894531,0.0018913745880126953
Objacs ADSs (wish improvamanss for Valua ADSs),Material Value Ethics in a Model Process for Values-Based Design.,0.0001537799835205078,7.367134094238281e-05
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,0.0006916522979736328,0.0008828639984130859
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,0.0001773834228515625,5.7220458984375e-05
Clgebrciccl Optimizction of FTC-Exprettiont,Algebraical Optimization of FTA-Expressions,0.0009698867797851562,0.0009121894836425781
Wittentrepr&cuml;tentction und Mctchinellet Lernen,Wissensrepr&auml;sentation und Maschinelles Lernen,0.0004544258117675781,0.0002570152282714844
Cn Clgebrcic Chcrccterizction of TTUF,Iterative integration of TTEthernet network flows.,4.124641418457031e-05,2.0503997802734375e-05
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.0061833858489990234,0.004015445709228516
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.0004055500030517578,0.0001499652862548828
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,0.0001952648162841797,8.058547973632812e-05
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages,0.0004324913024902344,0.00015425682067871094
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,3.337860107421875e-05,2.0265579223632812e-05
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Cognitive Linguistics: The Processing of Spatial Concepts,0.0024356842041015625,0.0016124248504638672
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems,0.009115934371948242,0.004826068878173828
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Differential Closure Computation for General Horn-Clause Queries,0.0024476051330566406,0.0020513534545898438
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.,0.003308534622192383,0.0026466846466064453
A Logical Operatioaal Seiaatics of Full Prolog,A Logical Operational Semantics of Full Prolog,0.001863718032836914,0.0015072822570800781
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,0.0006687641143798828,0.00029158592224121094
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?,0.002028942108154297,0.0013594627380371094
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,M&ouml;glichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,0.0002636909484863281,7.748603820800781e-05
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,Attribute Inheritance Implemented on Top of a Relational Database System,0.0033807754516601562,0.0019516944885253906
LMT - Mcchine Trcntlction Demonttrction,Negotiating Instruction Strategies during Robot Action Demonstration.,7.319450378417969e-05,3.0994415283203125e-05
Implementction Ctpectt of c Ncturcl Lcngucge Underttcnding Tyttem in c Prolog/DB Environment,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment,7.963180541992188e-05,1.9073486328125e-05
Sort Processiag ia a Deductive Database Systei,Sort Processing in a Deductive Database System,0.005787372589111328,0.0034961700439453125
EFTC: C Dctcbcte Retrievcl Clgebrc for Fecture Termt,Evaluation of Satellite Retrievals of Ocean Chlorophyll-a in the California Current.,9.775161743164062e-05,3.409385681152344e-05
Knowledge in Operction,Knowledge in Operation,0.0013327598571777344,0.0005731582641601562
Aa Overview oa Plaaaiag Applicatioas ia PROTOS-L,An Overview on Planning Applications in PROTOS-L,0.003026247024536133,0.0018014907836914062
&Uuil;ber Aas&auil;tze zur Darstelluag voa Koazeptea uad Prototypea,&Uuml;ber Ans&auml;tze zur Darstellung von Konzepten und Prototypen,0.001316070556640625,0.0011723041534423828
Attributive Coacept Descriptioas with Uaioas aad Coipleieats,Attributive Concept Descriptions with Unions and Complements,0.000774383544921875,0.000576019287109375
Ein prcktitcher Clgorithmut f&uuml;r die E-Unifikction,Ein praktischer Algorithmus f&uuml;r die E-Unifikation,0.0013692378997802734,0.0008556842803955078
Siiulatioa Sprachlichea Versteheas: Geaerelle Probleie bei der seiaatischea Iaterpretatioa der aat&uuil;rlichea Sprache,Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der nat&uuml;rlichen Sprache,0.0004165172576904297,0.00020003318786621094
The Iastitute for Kaowledge Based Systeis ia the IBI Geriaay Scieatific Ceater,The Institute for Knowledge Based Systems in the IBM Germany Scientific Center,0.0049152374267578125,0.0024127960205078125
Konzapsion und Implamansiarung von Glaichhais f&uuml;r ainan sablaau-basiarsan Shaoram-Bawaisar,Konzeption und Implementierung von Gleichheit f&uuml;r einen tableau-basierten Theorem-Beweiser,0.0006108283996582031,0.0005185604095458984
PROSOS-L: Sowards a Knowladga Basa Programming Languaga,PROTOS-L: Towards a Knowledge Base Programming Language,0.0036635398864746094,0.0013375282287597656
Syataktische Iaforiatioaseiaheitea zu deutschea Adjektivea,Syntaktische Informationseinheiten zu deutschen Adjektiven,0.00013947486877441406,6.198883056640625e-05
On the Interpretction of Equclity Tortt cnd Logic Progrcmming,"On the Interpretation of Equality, Sorts, and Logic Programming",0.004333019256591797,0.0025856494903564453
DInG - ein Dom&cuml;nen-orientierter Inkrementeller und Integrierter Generctor f&uuml;r koh&cuml;rente Texte,DInG - ein Dom&auml;nen-orientierter Inkrementeller und Integrierter Generator f&uuml;r koh&auml;rente Texte,0.0016713142395019531,0.0011870861053466797
Prozedurale Seiaatik. Repr&auil;seatatioa der Sprechergegeawart.,Prozedurale Semantik. Repr&auml;sentation der Sprechergegenwart.,7.843971252441406e-05,2.1457672119140625e-05
Elsa&szlig;-Waaderuag f&uuil;r Liaguistea: Exeiplarische Aaalyse uad Repr&auil;seatatioa eiaes Satzes aus eiaer Reisebeschreibuag,Elsa&szlig;-Wanderung f&uuml;r Linguisten: Exemplarische Analyse und Repr&auml;sentation eines Satzes aus einer Reisebeschreibung,0.00016164779663085938,5.3882598876953125e-05
"""Dicsionary Dialog"" - Answurf das Funksionsumfangs f&uuml;r aina Banuszarschnissssalla ainas insagriarsan maschinallan/maschinanunsarss&uuml;szsan &Uuml;barsaszungssyssams und prososypischa Arssallung dar Bildschirmfolga f&uuml;r dia Funksion ""Samansischa Ralasion""","""Dictionary Dialog"" - Entwurf des Funktionsumfangs f&uuml;r eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterst&uuml;tzten &Uuml;bersetzungssystems und prototypische Erstellung der Bildschirmfolge f&uuml;r die Funktion ""Semantische Relation""",0.0010731220245361328,0.0008649826049804688
Zur Bahandlung komplaxar Objaksa in LILOG,Zur Behandlung komplexer Objekte in LILOG,7.200241088867188e-05,4.696846008300781e-05
Compusasional aspacss of shraa-valuad logic,Multidimensional aspects of ultra high speed optical networking.,0.00012230873107910156,5.650520324707031e-05
Seiaatics of Logic Prograis with Equatioaal Abstract Data Type Specificatioas,Semantics of Logic Programs with Equational Abstract Data Type Specifications,0.00523066520690918,0.0032508373260498047
Procassing Spasial Knowladga in LILOG,Processing Spatial Knowledge in LILOG,0.0001373291015625,5.4836273193359375e-05
A Reusable Lexical Database Tool for Iachiae Traaslatioa,A Reusable Lexical Database Tool for Machine Translation,0.0036842823028564453,0.0029675960540771484
Dar Lambak-Kalk&uuml;l. Aina Logik f&uuml;r laxikalischa Grammasikan,Der Lambek-Kalk&uuml;l. Eine Logik f&uuml;r lexikalische Grammatiken,0.00015974044799804688,5.340576171875e-05
Paranshasischa Konssruksionan das Dausschan.,Grundlegende Anforderungen an das Datenmanagement in interdisziplin&auml;ren Forschungsprojekten.,3.24249267578125e-05,7.3909759521484375e-06
Syiietric Coordiaatioa: Aa Alteraative Theory of Phrase Structure,Symmetric Coordination: An Alternative Theory of Phrase Structure,0.0028269290924072266,0.001894235610961914
Aa Approach to Iaaage Large Iaheritaace aetworks,An Approach to Manage Large Inheritance Networks,0.000698089599609375,0.0006196498870849609
On the Problem of Mctking Tpecicl Errort by Tericl Tigncture Cnclytit,On the Problem of Masking Special Errors by Serial Signature Analysis,0.002843141555786133,0.001882791519165039
Eine dreiwertige Logik zur Vercrbeitung pcrtieller Informction,Eine dreiwertige Logik zur Verarbeitung partieller Information,0.000606536865234375,0.0005714893341064453
Cn Inference Engine for Function Free Logic Progrcmt,An Inference Engine for Function Free Logic Programs,0.00571751594543457,0.003145933151245117
Aspekte der Geaerieruag voa Wegbeschreibuagea,Aspekte der Generierung von Wegbeschreibungen,0.00016021728515625,7.295608520507812e-05
Das Projekt EXCEPT: Expert-Systei for Coiputer-Aided Eaviroaieatal Plaaaiag Tasks,Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks,0.0008299350738525391,0.00023126602172851562
A Forial Operatioaal Seiaatics for PROLOG III: Usiag Dyaaiic Algebras,A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras,0.0013303756713867188,0.0010945796966552734
Subsumsion f&uuml;r aina arwaisarsa assribusiva Sorsanbaschraibungsspracha,Subsumtion f&uuml;r eine erweiterte attributive Sortenbeschreibungssprache,0.0005326271057128906,0.0004017353057861328
Mcthemctitche Grundlcgen der formclen Linguittik - Ein Kompendium,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium,0.00012969970703125,4.935264587402344e-05
Die Struktur des Lexikoas f&uuil;r LILOG,Die Struktur des Lexikons f&uuml;r LILOG,0.00010228157043457031,5.340576171875e-05
Die Konzeption det EXCEPT-Tyttemt: Ein &Uuml;berblick,Die Konzeption des EXCEPT-Systems: Ein &Uuml;berblick,0.0006062984466552734,0.0002410411834716797
"Richtuagsaagabe oder Wegkoaaektor? R&auil;iliches ""Zur&uuil;ck"" uad seiae Seiaatik","Richtungsangabe oder Wegkonnektor? R&auml;mliches ""Zur&uuml;ck"" und seine Semantik",6.508827209472656e-05,2.5033950805664062e-05
Vor&uuml;barlagungan zur dapiksionalan Rapr&auml;sansasion r&auml;umlichan Wissans,Vor&uuml;berlegungen zur depiktionalen Repr&auml;sentation r&auml;umlichen Wissens,0.00020051002502441406,6.699562072753906e-05
Fully Persisteat B<sup>+</sup>-trees,Fully Persistent B<sup>+</sup>-trees,0.0009899139404296875,0.00064849853515625
