Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.004484891891479492,0.0029859542846679688
,Malsdown,7.62939453125e-06,1.6689300537109375e-06
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.0008258819580078125,0.0005173683166503906
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.0050961971282958984,0.0021142959594726562
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.0015883445739746094,0.0012211799621582031
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.015063047409057617,0.007221221923828125
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.0034584999084472656,0.00222015380859375
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.015417814254760742,0.007211923599243164
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.0004980564117431641,0.00021147727966308594
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.007611274719238281,0.0027337074279785156
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.005025386810302734,0.0038123130798339844
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.005093097686767578,0.0023784637451171875
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.003904581069946289,0.0022199153900146484
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.006172895431518555,0.004326820373535156
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,0.004027128219604492,0.002682209014892578
Muffin: C Dittributed Dctcbcte Mcchine,Ordered Navigation on Multi-attributed Data Words.,0.0011594295501708984,0.0009837150573730469
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.004642963409423828,0.0018677711486816406
Inharisanca for ADSs (ravisad),How data can be the lingua franca for security and IT.,2.6702880859375e-05,2.956390380859375e-05
Modificction of Uter Defined Typet,Modification of User Defined Types,0.0018525123596191406,0.001554250717163086
Objacs ADSs (wish improvamanss for Valua ADSs),Material Value Ethics in a Model Process for Values-Based Design.,0.0001385211944580078,7.319450378417969e-05
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,0.0007035732269287109,0.0007038116455078125
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,0.0001773834228515625,5.793571472167969e-05
Clgebrciccl Optimizction of FTC-Exprettiont,Algebraical Optimization of FTA-Expressions,0.0033316612243652344,0.0028486251831054688
Wittentrepr&cuml;tentction und Mctchinellet Lernen,Wissensrepr&auml;sentation und Maschinelles Lernen,0.0004596710205078125,0.00021004676818847656
Cn Clgebrcic Chcrccterizction of TTUF,Context-Dependent Boundary Model for Refining Boundaries Segmentation of TTS Units.,0.00295257568359375,0.002585887908935547
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.005728960037231445,0.0033452510833740234
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.0003490447998046875,0.00013303756713867188
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,0.00422358512878418,0.003663778305053711
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages,0.005750894546508789,0.0028638839721679688
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,4.458427429199219e-05,2.2172927856445312e-05
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Cognitive Linguistics: The Processing of Spatial Concepts,0.009023189544677734,0.006447315216064453
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems,0.015559911727905273,0.006724357604980469
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Differential Closure Computation for General Horn-Clause Queries,0.0035905838012695312,0.002023458480834961
