Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.0007989406585693359,0.00028133392333984375
,Malsdown,6.4373016357421875e-06,9.5367431640625e-07
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.00012230873107910156,3.1948089599609375e-05
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.002126455307006836,0.0009019374847412109
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,8.416175842285156e-05,2.956390380859375e-05
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.013763666152954102,0.005110025405883789
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.0006868839263916016,0.00021409988403320312
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.007695198059082031,0.0047223567962646484
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,3.409385681152344e-05,6.198883056640625e-06
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.0035848617553710938,0.0014352798461914062
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.0005164146423339844,0.0002319812774658203
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0015196800231933594,0.0007638931274414062
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0012366771697998047,0.0006961822509765625
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.007567882537841797,0.005135297775268555
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Engineering Component-Based Systems with Distributed Object Technology.,0.0005013942718505859,0.00015497207641601562
Muffin: C Dittributed Dctcbcte Mcchine,mCarve: Carving Attributed Dump Sets.,3.0279159545898438e-05,1.71661376953125e-05
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.00042557716369628906,0.0001800060272216797
,Inharisanca for ADSs (ravisad),1.71661376953125e-05,4.76837158203125e-07
Modificction of Uter Defined Typet,Modification of User Defined Types,4.887580871582031e-05,3.504753112792969e-05
Objacs ADSs (wish improvamanss for Valua ADSs),Material Value Ethics in a Model Process for Values-Based Design.,3.62396240234375e-05,1.3589859008789062e-05
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,3.0279159545898438e-05,1.9788742065429688e-05
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,8.249282836914062e-05,5.7220458984375e-06
Clgebrciccl Optimizction of FTC-Exprettiont,An OpenMP Implementation of FTCS Method for Reduced Black-Sholes Equation.,2.6941299438476562e-05,4.5299530029296875e-06
,Wittentrepr&cuml;tentction und Mctchinellet Lernen,3.4332275390625e-05,4.76837158203125e-07
Cn Clgebrcic Chcrccterizction of TTUF,Introduction of TTCN-3 into the product development process: considerations from an electronic devices developer point of view.,2.002716064453125e-05,5.0067901611328125e-06
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.002175569534301758,0.0010192394256591797
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.00011539459228515625,5.412101745605469e-05
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,7.271766662597656e-05,2.288818359375e-05
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages,0.00038242340087890625,0.0001494884490966797
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,2.8848648071289062e-05,5.9604644775390625e-06
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Cognitive Linguistics: The Processing of Spatial Concepts,0.0010542869567871094,0.0005915164947509766
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems,0.0066051483154296875,0.002689838409423828
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Parameter Reconstruction for General Transport Equation.,0.0005629062652587891,0.0001952648162841797
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.,0.00157928466796875,0.0008282661437988281
A Logical Operatioaal Seiaatics of Full Prolog,A Logical Operational Semantics of Full Prolog,0.00038504600524902344,0.00011610984802246094
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,0.00014781951904296875,3.9577484130859375e-05
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?,0.0010635852813720703,0.0007116794586181641
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,M&ouml;glichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,0.00016164779663085938,5.7220458984375e-05
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,Attribute Inheritance Implemented on Top of a Relational Database System,0.0026695728302001953,0.0013537406921386719
LMT - Mcchine Trcntlction Demonttrction,Negotiating Instruction Strategies during Robot Action Demonstration.,2.765655517578125e-05,1.71661376953125e-05
