Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.0007078647613525391,0.0002353191375732422
Malsdown,,4.76837158203125e-06,7.152557373046875e-07
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.00011348724365234375,2.86102294921875e-05
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.0020580291748046875,0.0012464523315429688
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,9.894371032714844e-05,2.8848648071289062e-05
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.0008175373077392578,0.00020360946655273438
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.0006921291351318359,0.00021767616271972656
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.0047109127044677734,0.0032052993774414062
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,4.220008850097656e-05,6.9141387939453125e-06
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.0025229454040527344,0.0016074180603027344
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.0005230903625488281,0.00024175643920898438
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0014946460723876953,0.0009033679962158203
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0012202262878417969,0.0009014606475830078
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.0026564598083496094,0.0019330978393554688
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Engineering Component-Based Systems with Distributed Object Technology.,0.0004875659942626953,0.0001621246337890625
Muffin: C Dittributed Dctcbcte Mcchine,mCarve: Carving Attributed Dump Sets.,3.170967102050781e-05,2.3603439331054688e-05
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.0004222393035888672,0.0001895427703857422
Inharisanca for ADSs (ravisad),,2.09808349609375e-05,9.5367431640625e-07
