Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.0043833255767822266,0.0029859542846679688
Malsdown,,7.62939453125e-06,1.430511474609375e-06
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.0057239532470703125,0.0045664310455322266
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.005016803741455078,0.0021567344665527344
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.001531362533569336,0.0011386871337890625
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.02512812614440918,0.009288787841796875
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.0032863616943359375,0.0019583702087402344
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.018769502639770508,0.010806560516357422
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.0005500316619873047,0.0002536773681640625
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.007764339447021484,0.002748250961303711
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.010000467300415039,0.006211280822753906
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.01720404624938965,0.00623321533203125
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.012771368026733398,0.00613093376159668
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.006166219711303711,0.0043485164642333984
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,0.010034561157226562,0.0071566104888916016
Muffin: C Dittributed Dctcbcte Mcchine,Ordered Navigation on Multi-attributed Data Words.,0.0011372566223144531,0.0009856224060058594
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.004525423049926758,0.0018854141235351562
Inharisanca for ADSs (ravisad),How data can be the lingua franca for security and IT.,2.6941299438476562e-05,2.5510787963867188e-05
Modificction of Uter Defined Typet,Modification of User Defined Types,0.0018458366394042969,0.001436471939086914
Objacs ADSs (wish improvamanss for Valua ADSs),Material Value Ethics in a Model Process for Values-Based Design.,0.00013875961303710938,6.556510925292969e-05
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,0.0006918907165527344,0.0006909370422363281
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,0.00017261505126953125,5.3882598876953125e-05
Clgebrciccl Optimizction of FTC-Exprettiont,Algebraical Optimization of FTA-Expressions,0.0033385753631591797,0.002780914306640625
Wittentrepr&cuml;tentction und Mctchinellet Lernen,Wissensrepr&auml;sentation und Maschinelles Lernen,0.00045228004455566406,0.00020074844360351562
Cn Clgebrcic Chcrccterizction of TTUF,Context-Dependent Boundary Model for Refining Boundaries Segmentation of TTS Units.,0.002969980239868164,0.0026280879974365234
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.005655765533447266,0.003259897232055664
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.0003390312194824219,0.00013256072998046875
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,0.004206657409667969,0.003704547882080078
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages,0.00568699836730957,0.002790689468383789
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,4.124641418457031e-05,2.0265579223632812e-05
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Cognitive Linguistics: The Processing of Spatial Concepts,0.014906167984008789,0.010220050811767578
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems,0.02735137939453125,0.013832569122314453
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Differential Closure Computation for General Horn-Clause Queries,0.01051640510559082,0.007698774337768555
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.,0.0034303665161132812,0.0022492408752441406
A Logical Operatioaal Seiaatics of Full Prolog,A Logical Operational Semantics of Full Prolog,0.004889011383056641,0.0036306381225585938
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,0.0006425380706787109,0.00023651123046875
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?,0.004971981048583984,0.0030350685119628906
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,M&ouml;glichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,0.0002605915069580078,6.937980651855469e-05
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,Attribute Inheritance Implemented on Top of a Relational Database System,0.013144493103027344,0.007678031921386719
LMT - Mcchine Trcntlction Demonttrction,Negotiating Instruction Strategies during Robot Action Demonstration.,6.151199340820312e-05,2.8371810913085938e-05
