Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.0007102489471435547,0.0002415180206298828
Malsdown,,5.7220458984375e-06,7.152557373046875e-07
Computer Tcience Curriculc 2013,Computer Science Curricula 2013,0.000125885009765625,3.933906555175781e-05
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.002056121826171875,0.001367330551147461
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.00010514259338378906,3.075599670410156e-05
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.0008432865142822266,0.00024890899658203125
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.0006849765777587891,0.0002384185791015625
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.003534555435180664,0.0027608871459960938
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,3.504753112792969e-05,6.67572021484375e-06
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.00078582763671875,0.0006685256958007812
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.0005271434783935547,0.0003027915954589844
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0015218257904052734,0.0010912418365478516
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,A Construction Set for Multimedia Applications.,0.0012238025665283203,0.001094818115234375
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.0012307167053222656,0.0008099079132080078
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Engineering Component-Based Systems with Distributed Object Technology.,0.0004634857177734375,0.0001976490020751953
Muffin: C Dittributed Dctcbcte Mcchine,mCarve: Carving Attributed Dump Sets.,3.361701965332031e-05,1.7642974853515625e-05
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.00042319297790527344,0.0002391338348388672
Inharisanca for ADSs (ravisad),,2.6702880859375e-05,4.76837158203125e-07
Modificction of Uter Defined Typet,Modification of User Defined Types,6.270408630371094e-05,3.314018249511719e-05
Objacs ADSs (wish improvamanss for Valua ADSs),Material Value Ethics in a Model Process for Values-Based Design.,3.24249267578125e-05,1.4781951904296875e-05
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,2.6941299438476562e-05,2.0265579223632812e-05
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,8.0108642578125e-05,5.4836273193359375e-06
Clgebrciccl Optimizction of FTC-Exprettiont,An OpenMP Implementation of FTCS Method for Reduced Black-Sholes Equation.,2.765655517578125e-05,5.245208740234375e-06
Wittentrepr&cuml;tentction und Mctchinellet Lernen,,3.62396240234375e-05,4.76837158203125e-07
Cn Clgebrcic Chcrccterizction of TTUF,Introduction of TTCN-3 into the product development process: considerations from an electronic devices developer point of view.,2.288818359375e-05,5.4836273193359375e-06
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.0021474361419677734,0.001333475112915039
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.00012373924255371094,6.4849853515625e-05
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,8.416175842285156e-05,2.1219253540039062e-05
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages,0.0003838539123535156,0.00016808509826660156
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,2.9802322387695312e-05,1.8835067749023438e-05
